year;month;shape_id;dengue_confirmed;dengue_dead;dengue_loc;type;shape_name;shape_type
2010;1;2;0;0;0;region;Arusha;region
2010;1;3;0;0;0;region;Dar-es-salaam;region
2010;1;4;0;0;0;region;Dodoma;region
2010;1;5;0;0;0;region;Geita;region
2010;1;6;0;0;0;region;Iringa;region
2010;1;7;0;0;0;region;Kagera;region
2010;1;8;0;0;0;region;Kaskazini Pemba;region
2010;1;9;0;0;0;region;Kaskazini Unguja;region
2010;1;10;0;0;0;region;Katavi;region
2010;1;11;0;0;0;region;Kigoma;region
2010;1;12;0;0;0;region;Kilimanjaro;region
2010;1;13;0;0;0;region;Kusini Pemba;region
2010;1;14;0;0;0;region;Kusini Unguja;region
2010;1;15;0;0;0;region;Lindi;region
2010;1;16;0;0;0;region;Manyara;region
2010;1;17;0;0;0;region;Mara;region
2010;1;18;0;0;0;region;Mbeya;region
2010;1;19;0;0;0;region;Mjini Magharibi;region
2010;1;20;0;0;0;region;Morogoro;region
2010;1;21;0;0;0;region;Mtwara;region
2010;1;22;0;0;0;region;Mwanza;region
2010;1;23;0;0;0;region;Njombe;region
2010;1;24;0;0;0;region;Pwani;region
2010;1;25;0;0;0;region;Rukwa;region
2010;1;26;0;0;0;region;Ruvuma;region
2010;1;27;0;0;0;region;Shinyanga;region
2010;1;28;0;0;0;region;Simiyu;region
2010;1;29;0;0;0;region;Singida;region
2010;1;30;0;0;0;region;Songwe;region
2010;1;31;0;0;0;region;Tabora;region
2010;1;32;0;0;0;region;Tanga;region
2010;1;1;0;0;0;country;Tanzania;country
2010;2;2;0;0;0;region;Arusha;region
2010;2;3;0;0;1;region;Dar-es-salaam;region
2010;2;4;0;0;0;region;Dodoma;region
2010;2;5;0;0;0;region;Geita;region
2010;2;6;0;0;0;region;Iringa;region
2010;2;7;0;0;0;region;Kagera;region
2010;2;8;0;0;0;region;Kaskazini Pemba;region
2010;2;9;0;0;0;region;Kaskazini Unguja;region
2010;2;10;0;0;0;region;Katavi;region
2010;2;11;0;0;0;region;Kigoma;region
2010;2;12;0;0;0;region;Kilimanjaro;region
2010;2;13;0;0;0;region;Kusini Pemba;region
2010;2;14;0;0;0;region;Kusini Unguja;region
2010;2;15;0;0;0;region;Lindi;region
2010;2;16;0;0;0;region;Manyara;region
2010;2;17;0;0;0;region;Mara;region
2010;2;18;0;0;0;region;Mbeya;region
2010;2;19;0;0;0;region;Mjini Magharibi;region
2010;2;20;0;0;0;region;Morogoro;region
2010;2;21;0;0;0;region;Mtwara;region
2010;2;22;0;0;0;region;Mwanza;region
2010;2;23;0;0;0;region;Njombe;region
2010;2;24;0;0;0;region;Pwani;region
2010;2;25;0;0;0;region;Rukwa;region
2010;2;26;0;0;0;region;Ruvuma;region
2010;2;27;0;0;0;region;Shinyanga;region
2010;2;28;0;0;0;region;Simiyu;region
2010;2;29;0;0;0;region;Singida;region
2010;2;30;0;0;0;region;Songwe;region
2010;2;31;0;0;0;region;Tabora;region
2010;2;32;0;0;0;region;Tanga;region
2010;2;1;0;0;1;country;Tanzania;country
2010;3;2;0;0;0;region;Arusha;region
2010;3;3;0;0;0;region;Dar-es-salaam;region
2010;3;4;0;0;0;region;Dodoma;region
2010;3;5;0;0;0;region;Geita;region
2010;3;6;0;0;0;region;Iringa;region
2010;3;7;0;0;0;region;Kagera;region
2010;3;8;0;0;0;region;Kaskazini Pemba;region
2010;3;9;0;0;1;region;Kaskazini Unguja;region
2010;3;10;0;0;0;region;Katavi;region
2010;3;11;0;0;0;region;Kigoma;region
2010;3;12;0;0;0;region;Kilimanjaro;region
2010;3;13;0;0;0;region;Kusini Pemba;region
2010;3;14;0;0;0;region;Kusini Unguja;region
2010;3;15;0;0;0;region;Lindi;region
2010;3;16;0;0;0;region;Manyara;region
2010;3;17;0;0;0;region;Mara;region
2010;3;18;0;0;0;region;Mbeya;region
2010;3;19;0;0;0;region;Mjini Magharibi;region
2010;3;20;0;0;0;region;Morogoro;region
2010;3;21;0;0;0;region;Mtwara;region
2010;3;22;0;0;0;region;Mwanza;region
2010;3;23;0;0;0;region;Njombe;region
2010;3;24;0;0;0;region;Pwani;region
2010;3;25;0;0;0;region;Rukwa;region
2010;3;26;0;0;0;region;Ruvuma;region
2010;3;27;0;0;0;region;Shinyanga;region
2010;3;28;0;0;0;region;Simiyu;region
2010;3;29;0;0;0;region;Singida;region
2010;3;30;0;0;0;region;Songwe;region
2010;3;31;0;0;0;region;Tabora;region
2010;3;32;0;0;0;region;Tanga;region
2010;3;1;0;0;1;country;Tanzania;country
2010;4;2;0;0;0;region;Arusha;region
2010;4;3;17;0;1;region;Dar-es-salaam;region
