_id,HEALTH WORKERS,ARUSHA,DAR ES SALAAM,DODOMA,IRINGA,KAGERA,KIGOMA,KILIMANJARO,LINDI,MANYARA,MARA,MBEYA,MOROGORO,MTWARA,MWANZA,PWANI,RUKWA,RUVUMA,SHINYANGA,SINGIDA,TABORA,TANGA,GEITA,KATAVI,NJOMBE,SIMIYU,YEAR
1,DENSITY OF DOCTORS AND  ASSISTANT MEDICAL OFFICER (AMO) PER 10 000 PEOPLE,0.6,0.94,0.76,1.3,0.38,0.37,1.39,0.87,0.45,0.42,0.92,0.84,0.55,0.72,0.87,0.67,0.66,0.7,0.46,0.25,0.88,0,0,0,0,2013
2,DENSITY OF NURSES AND MIDWIVES PER 10 000 PEOPLE (EXCLUDING NURSING OFFICERS AND ASSISTANT NURSING OFFICERS),2.42,2.71,3.49,10.58,3.07,1.88,6.34,4,2.59,3.45,4.31,3.27,2.71,4.09,2.78,3.17,4.6,4.07,3.33,1.62,3.46,0,0,0,0,2013
3,DENSITY OF CLINICIANS PER 10000 POPULATION,2.01,2.76,2.29,5.01,1.39,0.97,4.12,2.91,1.47,1.54,2.52,3.16,1.75,2.28,4.38,2.12,2.36,2.5,1.54,0.87,3.16,0,0,0,0,2013
4,DENSITY OF SKILLED HRH (DEFINED AS CLINICIANS AND NURSES / MIDWIVES) ENTIRE COUNTRY,778,2571,1239,1490,1144,627,1757,605,603,900,1919,1473,576,1836,809,554,987,1037,689,593,1394,0,0,0,0,2013
5,SKILLED HRH PATIENT RATIO,4.43,5.46,5.78,15.59,4.46,2.85,10.46,6.91,4.05,4.99,6.83,6.43,4.46,6.36,7.15,5.28,6.97,6.57,4.87,2.49,6.61,0,0,0,0,2013
6,TOTAL POPULATION,1758085,4708224,2142881,955725,2565099,2197868,1679248,875596,1487416,1802649,2808393,2289982,1291990,2885988,1131164,1048892,1416829,1577998,1414194,2383779,2107636,0,0,0,0,2013
7,DENSITY OF MEDICAL OFFICERS (MOS) AND ASSISTANT MEDICAL OFFICERS (AMOS) PER 10000 POPULATION,0.82,1.52,0.78,1.08,0.36,0.33,1.47,0.95,0.57,0.44,1.13,0.89,0.73,0.62,1.15,0.47,0.63,0.34,0.4,0.24,0.77,0.28,0.41,0.77,0.21,2014
8,DENSITY OF NURSES AND MIDWIVES PER 10000 POPULATION (EXCLUDING NURSING OFFICERS AND ASSISTANT NURSING OFFICER),3.84,3.1,3.22,6.38,2.81,1.82,6.28,3.77,2.99,3.46,4.62,3.38,2.83,3.31,4.06,2.55,4.16,2.68,3.18,1.52,3.09,1.53,1.08,7.42,1.35,2014
9,DENSITY OF PHARMACIST PER 10000 POPULATION,0.07,0.2,0.11,0.17,0.03,0.03,0.11,0.03,0.05,0.04,0.14,0.06,0.03,0.07,0.16,0.04,0.04,0.04,0.03,0,0.08,0.02,0.03,0.13,0.02,2014
10,DENSITY OF CLINICIANS PER 10000 POPULATION,3.01,3.66,2.47,4.24,1.28,1.14,4.95,3.27,2.05,1.88,3.07,3.58,2.23,1.94,5.16,1.76,2.45,1.71,1.47,1.02,3.3,1.25,1.08,3.16,1.19,2014
11,DENSITY OF SKILLED HRH (DEFINED AS CLINICIANS AND NURSES / MIDWIVES) ENTIRE COUNTRY,1237,3371,1244,1027,1083,665,1920,622,774,988,2218,1633,662,1562,1066,467,957,706,673,622,1378,515,132,757,420,2014
12,SKILLED HRH PATIENT RATIO,6.85,6.77,5.69,10.62,4.09,2.95,11.24,7.04,5.04,5.35,7.69,6.97,5.06,5.25,9.22,4.31,6.61,4.38,4.65,2.53,6.39,2.78,2.17,10.58,2.54,2014
13,TOTAL POPULATION,1806943,4980562,2187955,966616,2647538,2251233,1708904,883804,1535376,1847564,2885735,2344502,1307897,2973165,1155892,1083056,1447205,1610823,1447399,2454533,2155180,1850181,609141,715320,1654107,2014
