Category,Abbreviation,Titel,Coverage: Temporal,Coverage: Spatial,Timeliness,Accuracy,Consistency,Data Origin,Source,Source dataset Identifier,Publication,Rights,Source link,Related Sources,Documentaion Contributor,Documentation Date,Version,Comment
Info,callname in db,Description of layer,How many points of the spatial resolution have data?,How many timepoints of the temporal resolution have data?,When was the last update?,Is there a CI given?,Has the source not changed their methods in the timeframe?,How was the data generated?,,DOI linked to dataset,Is there a Publication?,On what License the data can be used?,,Do we host other sources for this parameter?,,,,
Health,lit_dengue_sero,Dengue seroprevalence level (historical),,,,No,Yes,,Literature-based,,,,,,,,,
Health,lit_dengue_out_loc,Dengue outbreak locations (historical),,,,No,Yes,,"Literature-based, Report-based",,,,,,,,,
Health,lit_dengue_herep,Dengue health reports,,,,No,Yes,,Official authorities,,,,,,,,,
Health,lit_chik_sero,Optional: Chikungunya seroprevalences (historical),,,,No,Yes,,Ummy field work,,,,,,,,,
Health,lit_chik_outloc,Optional: Chikungunya outbreak locations (historical),,,,No,Yes,,Ummy field work,,,,,,,,,
Health,lit_chol_waterloc,Cholera affected water bodies (historical),,,,No,Yes,,Literature-based,,,,,,,,,
Health,lit_chol_outloc,Cholera outbreak locations (historical),,,,No,Yes,,"Literature-based, Report-based",,,,,,,,,
Health,lit_chol_herep,Cholera health reports,,,,No,Yes,,"Literature-based, Report-based",,,,,,,,,
Health,malariaatlas_incidence,Annual Malaria (falciparum) Incidence,,,2019,"Yes, via tiff",Yes,"Interpolated, Extrapolated",Malaria Atlas Project,None,https://doi.org/10.1186/s12936-018-2500-5,Attribution 3.0 Unported (CC BY 3.0),https://malariaatlas.org/explorer/#/,None,KrN,02.05.2022,,
Health,malariaatlas_mortal,Annual Malaria (falciparum) Mortality,,,2019,"Yes, via tiff",Yes,"Interpolated, Extrapolated",Malaria Atlas Project,None,https://doi.org/10.1186/s12936-018-2500-5,Attribution 3.0 Unported (CC BY 3.0),https://malariaatlas.org/explorer/#/,None,KrN,02.05.2022,,
Enviromental ,lit_mos_abundance,Mosquitoes Abundance Index (historical),,,,,,,Literature-based,,,,,,,,,
Enviromental ,lit_mos_suitability,Environmental suitability Aedes aegypti (assumptions from literature),,,,,,,Literature-based,,,,,,KrN,02.05.2022,,
Enviromental ,lit_dengue_suitability,Dengue suitability index (assumptions from literature),,,,,,,Literature-based,,,,,,KrN,02.05.2022,,
Demographic,worldpop_popc,Population counts,,,2020,No,Yes,Disaggregation,Worldpop,10.5258/SOTON/WP00660,https://doi.org/10.1371/journal.pone.0107042,Attribution 4.0 International (CC BY 4.0),https://www.worldpop.org/geodata/listing?id=69,None,KrN,02.05.2022,,
