Category,Abbreviation,Titel,Necessity,Format,Operation,Original Parameteter,DataBase District Parameter,Spatial details,Temporal details,Source,Link,Comment
Info,callname in db,Description of layer,Is the data required for ESIDA?,Which input format was used,How was the data manipulated?,Which unit was used in the source data?,Which unit is given in the database,Finest spatial resolution,Finest temporal resoltion,,direct link to source,
Health,lit_dengue_sero,Dengue seroprevalence level (historical),optional,csv,,,,Specific locations,Cross-sectional observations,Literature-based,,
Health,lit_dengue_out_loc,Dengue outbreak locations (historical),required,csv,,,,"Administrative levels, locations derived from literature (case studies)",2010 - 2021,"Literature-based, report-based (e.g. WHO, MoH)",,
Health,lit_dengue_herep,Dengue health reports,required,csv,,,,Administrative levels,Cross-sectional observations,Official authorities,,
Health,lit_chik_sero,Optional: Chikungunya seroprevalences (historical),optional,csv,,,,Specific locations,Cross-sectional observations,Ummy field work,,
Health,lit_chik_outloc,Optional: Chikungunya outbreak locations (historical),optional,csv,,,,"Administrative levels, locations derived from literature (case studies)",Cross-sectional observations,Ummy field work,,
Health,lit_chol_waterloc,Cholera affected water bodies (historical),required,csv,,,,Specific locations,Cross-sectional observations,Literature-based,,
Health,lit_chol_outloc,Cholera outbreak locations (historical),required,csv,,,,"Administrative levels, locations derived from literature (case studies)",Cross-sectional observations,"Literature-based, report-based (e.g. WHO, MoH)",,
Health,lit_chol_herep,Cholera health reports,required,csv,,,,"Administrative levels, locations derived from literature (case studies)",Cross-sectional observations,"Literature-based, report-based (e.g. WHO, MoH)",,
Health,malariaatlas_incidence,Annual Malaria (falciparum) Incidence,proxy,tiff,None,Cases per 1000 per year,Cases per 1000 per year,Region / District,Annualy (2000-2020),Malaria Atlas Project,https://malariaatlas.org/explorer/#/,
Health,malariaatlas_mortal,Annual Malaria (falciparum) Mortality,proxy,tiff,None,Mortality rate per 10k per year,Mortality rate per 10k per year,Region / District,Annualy (2000-2017),Malaria Atlas Project,https://malariaatlas.org/explorer/#/,
Enviromental ,lit_mos_abundance,Mosquitoes Abundance Index (historical),required,csv,,,,Locations / long/lat,Cross-sectional observations,Literature-based,,
Enviromental ,lit_mos_suitability,Environmental suitability Aedes aegypti (assumptions from literature),required,tbc,,,,10x10 km,--,Literature-based,https://datadryad.org/stash/404,"Link is currently down, I already wrote the authors"
Enviromental ,lit_dengue_suitability,Dengue suitability index (assumptions from literature),optional,tbc,,,,--,--,,,
Demographic,worldpop_popc,Population counts,required,tiff,sum,total number ,total number ,100 x 100 m,Annualy (2010-2020),Worldpop,https://www.worldpop.org/geodata/listing?id=69,
Demographic,worldpop_popd,Population density,required,tiff,mean,population per m^2,population per m^2,1x1 km,Annualy (2010-2020),Worldpop,https://www.worldpop.org/project/categories?id=18,
Demographic,worldpop_urbanext,Urban Settlement Extent,optional,tiff,Proportion (area of interest/whole area),"binary (0=not urban, 1=urban)",proportion (0 to 1),100 x 100 m,"2020, 2010",Worldpop,https://www.worldpop.org/geodata/summary?id=17285,
Demographic,worldpop_pov,Poverty,required,tiff,mean,proportion of people per grid cell living with less than 2 dollar per day,proportion (0 to 1),1x1 km,2013,Worldpop ,https://www.worldpop.org/geodata/summary?id=1273,"There several files, for now use tza10povcons200.tif, there is also a laer for 1.25 dollars per day"
Weather & Climate,meteo_tprecit,Total precipitation,required,API,sum,mm/day,mm/day,local weather stations,"2010-2020, hourly/daily",Meteostat,https://dev.meteostat.net/python/stations.html#example,
Weather & Climate,meteo_humid,Humidity,optional,API,mean,avg. percentage/day,avg. percentage/day,local weather stations,"2010-2020, hourly/daily",Meteostat,https://dev.meteostat.net/python/stations.html#example,
Weather & Climate,meteo_maxt,Maximum Temperature ,required,API,max,celsius/day,celsius/day,local weather stations,"2010-2020, hourly/daily",Meteostat,https://dev.meteostat.net/python/stations.html#example,
